Mx,My,Mz,Vx,Vy,Vz
1.4557,4.2588,-1.8989,0,0,1
1.4455,4.2685,-1.8377,-0.081122,0.077505,0.98725
1.4391,4.2751,-1.7852,-0.10151,0.10052,0.98928
1.4354,4.2806,-1.7356,-0.087238,0.10549,0.99047
1.4331,4.2839,-1.6857,-0.066428,0.08586,0.99367
1.4322,4.2864,-1.6352,-0.041971,0.067487,0.99636
1.432,4.2882,-1.5829,-0.023691,0.051502,0.99809
1.4321,4.2886,-1.5286,-0.010793,0.029005,0.99918
1.4324,4.2885,-1.476,-0.002142,0.013393,0.99975
1.4324,4.2876,-1.4247,-0.0016364,-0.0023662,0.99987
1.4324,4.286,-1.3743,-0.00052117,-0.017104,0.99974
1.4321,4.2843,-1.3242,-0.0029262,-0.025074,0.99965
1.4322,4.2821,-1.2744,-0.00052408,-0.034625,0.99935
1.4329,4.2781,-1.2253,0.0067347,-0.05848,0.99795
1.434,4.2714,-1.1765,0.01486,-0.097071,0.99438
1.4354,4.2569,-1.1277,0.020798,-0.1911,0.97665
1.4383,4.2268,-1.0865,0.038432,-0.38969,0.89427
1.4399,4.1889,-1.0515,0.03536,-0.56727,0.79649
1.4401,4.1433,-1.0251,0.020118,-0.72275,0.65722
1.4424,4.0935,-1.007,0.0324,-0.83912,0.50747
1.442,4.0436,-0.99405,0.01203,-0.91164,0.38388
1.441,3.9938,-0.9834,-0.0037862,-0.94961,0.29864
1.4413,3.9439,-0.9731,0.0010273,-0.96663,0.25109
1.4408,3.8933,-0.96405,-0.0039886,-0.97608,0.21388
1.4413,3.8431,-0.95645,0.0029674,-0.98281,0.18149
1.4413,3.7941,-0.9469,0.0010308,-0.98249,0.18624
1.4414,3.7456,-0.9389,0.0020421,-0.98456,0.17465
1.4411,3.6958,-0.9329,-0.0020008,-0.98872,0.14709
1.4407,3.6467,-0.93065,-0.0057234,-0.99401,0.096536
1.4403,3.5963,-0.9287,-0.0060917,-0.99726,0.067799
1.4416,3.543,-0.9293,0.0090306,-0.99866,0.028159
1.4454,3.4882,-0.92915,0.038513,-0.99862,0.015612
1.4496,3.436,-0.9296,0.060172,-0.99787,0.0033207
1.4562,3.3849,-0.92995,0.094294,-0.99494,-0.0015522
1.4678,3.3346,-0.9296,0.15884,-0.98513,0.0026903
1.4738,3.2843,-0.9285,0.13917,-0.98995,0.011906
1.4794,3.2355,-0.92785,0.12645,-0.99181,0.01286
1.4849,3.1867,-0.9264,0.11933,-0.99257,0.021204
1.4894,3.1383,-0.93015,0.1056,-0.99268,-0.028239
1.4912,3.0892,-0.9361,0.070903,-0.99308,-0.073938
1.49,3.0393,-0.9428,0.023936,-0.99276,-0.10374
1.4897,2.9904,-0.9499,0.0097233,-0.99193,-0.12395
1.4842,2.9422,-0.95905,-0.051462,-0.9843,-0.15423
1.4802,2.894,-0.9672,-0.067245,-0.98457,-0.16066
1.4742,2.8461,-0.97565,-0.09446,-0.98112,-0.16642
1.4672,2.7977,-0.98545,-0.11718,-0.97598,-0.18155
1.4621,2.7483,-0.99525,-0.10919,-0.97615,-0.18738
1.4546,2.699,-1.0041,-0.12859,-0.9748,-0.18115
1.4472,2.65,-1.0125,-0.13767,-0.97493,-0.17445
1.4388,2.6013,-1.019,-0.1538,-0.97591,-0.15232
1.4275,2.5534,-1.0244,-0.19116,-0.97182,-0.13101
1.4143,2.5057,-1.0206,-0.22794,-0.96695,-0.026328
1.3993,2.4599,-1.0065,-0.26416,-0.94275,0.12634
1.3875,2.4167,-0.98425,-0.25169,-0.90933,0.28675
1.3761,2.3788,-0.95155,-0.23924,-0.82982,0.46407
1.3644,2.3484,-0.9115,-0.23515,-0.71809,0.62428
1.3545,2.3266,-0.86445,-0.21379,-0.57325,0.76386
1.3463,2.3125,-0.8145,-0.18685,-0.42614,0.86587
1.339,2.3034,-0.76525,-0.16779,-0.30754,0.92671
1.3363,2.2977,-0.71515,-0.11097,-0.21136,0.96384
1.3378,2.2946,-0.66495,-0.040633,-0.13698,0.98417
1.3369,2.293,-0.61345,-0.029259,-0.084177,0.9945
1.3351,2.29,-0.56505,-0.033825,-0.072842,0.99669
1.3338,2.2866,-0.51735,-0.029682,-0.072768,0.9969
1.3321,2.2832,-0.4702,-0.033027,-0.072012,0.99685
1.3309,2.2804,-0.42215,-0.028835,-0.065705,0.99739
1.3296,2.2781,-0.37315,-0.028147,-0.055848,0.99799
1.3281,2.2761,-0.32365,-0.028507,-0.047677,0.99842
1.3264,2.2746,-0.27385,-0.032136,-0.039221,0.99867
1.3245,2.2733,-0.2243,-0.034788,-0.031947,0.99885
1.3226,2.2723,-0.1746,-0.036644,-0.026818,0.99895
1.3206,2.2713,-0.12455,-0.037944,-0.023558,0.999
1.3178,2.2693,-0.07475,-0.047595,-0.031633,0.99829
1.3141,2.2676,-0.02535,-0.060877,-0.032029,0.99754
1.305,2.2655,0.02515,-0.1189,-0.037069,0.99048
1.2876,2.2614,0.0725,-0.232,-0.059347,0.96364
1.2691,2.2507,0.1187,-0.29845,-0.13512,0.93904
1.2464,2.2362,0.1618,-0.373,-0.2101,0.89645
1.2222,2.2205,0.20335,-0.42715,-0.26141,0.86162
1.1966,2.2042,0.2437,-0.46771,-0.29236,0.83203
1.1688,2.1852,0.2819,-0.50662,-0.33356,0.79199
1.1403,2.1648,0.318,-0.53762,-0.36901,0.75581
1.1106,2.1429,0.3531,-0.56111,-0.39976,0.72303
1.0791,2.1201,0.38545,-0.59227,-0.42572,0.68162
