Mx,My,Mz,Vx,Vy,Vz
130.37,126.95,0,0,0,1
130.5,126.99,0.38623,0.16189,0.050939,0.97032
130.49,127.06,0.89171,0.064138,0.086572,0.9885
130.54,127.16,1.3622,0.085393,0.15446,0.98169
130.5,127.18,1.865,0.0096161,0.093682,0.99074
130.4,127.04,2.3965,-0.088685,-0.078633,0.97258
130.13,126.93,2.86,-0.28819,-0.13977,0.92183
129.92,126.86,3.307,-0.35757,-0.14382,0.92032
129.73,126.81,3.7654,-0.37737,-0.12053,0.91767
129.51,126.77,4.2086,-0.41071,-0.10591,0.90477
129.29,126.71,4.6453,-0.42626,-0.1066,0.89814
129.03,126.65,5.0777,-0.46543,-0.11298,0.87669
128.75,126.57,5.4951,-0.5077,-0.13678,0.84876
128.44,126.46,5.8892,-0.56054,-0.17733,0.80497
128.1,126.3,6.2451,-0.60596,-0.24588,0.75001
127.77,126.09,6.5712,-0.63087,-0.32689,0.69643
127.46,125.83,6.8777,-0.62213,-0.41815,0.65409
127.16,125.54,7.1569,-0.61159,-0.49907,0.60656
126.91,125.19,7.4356,-0.55297,-0.59073,0.57657
126.66,124.81,7.6524,-0.52647,-0.67609,0.50206
126.41,124.39,7.8016,-0.50783,-0.75205,0.39969
126.19,123.94,7.9064,-0.46669,-0.82095,0.3041
126.01,123.47,7.9575,-0.41832,-0.87626,0.20379
125.84,122.98,7.9559,-0.3741,-0.91418,0.10113
125.7,122.5,7.9341,-0.32753,-0.94011,0.029428
125.6,122,7.9144,-0.26056,-0.96224,-0.0047848
125.49,121.51,7.822,-0.24092,-0.96192,-0.092493
125.36,121.03,7.7527,-0.25055,-0.96081,-0.11591
125.23,120.55,7.6806,-0.25172,-0.95899,-0.12956
125.1,120.07,7.6184,-0.26025,-0.95712,-0.12689
124.95,119.6,7.5621,-0.27675,-0.95325,-0.11995
124.8,119.13,7.5132,-0.29156,-0.95011,-0.10931
124.66,118.66,7.4704,-0.29056,-0.95176,-0.097942
124.5,118.19,7.4427,-0.30064,-0.95036,-0.076692
124.34,117.71,7.4304,-0.31461,-0.9474,-0.050675
124.18,117.25,7.4332,-0.32056,-0.94652,-0.022457
124.02,116.76,7.4422,-0.31463,-0.94898,-0.0025134
123.86,116.3,7.4461,-0.31622,-0.94867,0.0027191
123.73,115.84,7.4569,-0.2992,-0.95388,0.012787
123.61,115.36,7.4704,-0.27505,-0.96086,0.020162
