Mx,My,Mz,Vx,Vy,Vz
64,64,0,0,0,1
63.796,64.195,1.2247,-0.081122,0.077505,0.98725
63.667,64.326,2.2744,-0.10151,0.10052,0.98928
63.594,64.436,3.2661,-0.087238,0.10549,0.99047
63.548,64.503,4.2632,-0.066428,0.08586,0.99367
63.53,64.552,5.2744,-0.041971,0.067487,0.99636
63.525,64.589,6.3201,-0.023691,0.051502,0.99809
63.527,64.597,7.4068,-0.010793,0.029005,0.99918
63.534,64.594,8.4585,-0.002142,0.013393,0.99975
63.533,64.576,9.485,-0.0016364,-0.0023662,0.99987
63.533,64.543,10.493,-0.00052117,-0.017104,0.99974
63.528,64.51,11.494,-0.0029262,-0.025074,0.99965
63.53,64.466,12.489,-0.00052408,-0.034625,0.99935
63.544,64.385,13.473,0.0067347,-0.05848,0.99795
63.566,64.251,14.449,0.01486,-0.097071,0.99438
63.594,63.961,15.424,0.020798,-0.1911,0.97665
63.651,63.361,16.249,0.038432,-0.38969,0.89427
63.683,62.601,16.949,0.03536,-0.56727,0.79649
63.688,61.689,17.476,0.020118,-0.72275,0.65722
63.734,60.694,17.839,0.0324,-0.83912,0.50747
63.725,59.696,18.097,0.01203,-0.91164,0.38388
63.705,58.7,18.31,-0.0037862,-0.94961,0.29864
63.711,57.702,18.516,0.0010273,-0.96663,0.25109
63.702,56.691,18.697,-0.0039886,-0.97608,0.21388
63.712,55.686,18.849,0.0029674,-0.98281,0.18149
63.711,54.705,19.04,0.0010308,-0.98249,0.18624
63.714,53.736,19.2,0.0020421,-0.98456,0.17465
63.708,52.739,19.32,-0.0020008,-0.98872,0.14709
63.699,51.757,19.365,-0.0057234,-0.99401,0.096536
63.692,50.75,19.404,-0.0060917,-0.99726,0.067799
63.718,49.684,19.392,0.0090306,-0.99866,0.028159
63.793,48.588,19.395,0.038513,-0.99862,0.015612
63.878,47.544,19.386,0.060172,-0.99787,0.0033207
64.011,46.522,19.379,0.094294,-0.99494,-0.0015522
64.241,45.515,19.386,0.15884,-0.98513,0.0026903
64.362,44.511,19.408,0.13917,-0.98995,0.011906
64.474,43.533,19.421,0.12645,-0.99181,0.01286
64.584,42.557,19.45,0.11933,-0.99257,0.021204
64.673,41.59,19.375,0.1056,-0.99268,-0.028239
64.709,40.609,19.256,0.070903,-0.99308,-0.073938
64.686,39.61,19.122,0.023936,-0.99276,-0.10374
64.681,38.632,18.98,0.0097233,-0.99193,-0.12395
64.57,37.669,18.797,-0.051462,-0.9843,-0.15423
64.489,36.704,18.634,-0.067245,-0.98457,-0.16066
64.369,35.745,18.465,-0.09446,-0.98112,-0.16642
64.23,34.778,18.269,-0.11718,-0.97598,-0.18155
64.128,33.789,18.073,-0.10919,-0.97615,-0.18738
63.978,32.803,17.896,-0.12859,-0.9748,-0.18115
63.83,31.824,17.728,-0.13767,-0.97493,-0.17445
63.661,30.849,17.598,-0.1538,-0.97591,-0.15232
63.435,29.893,17.489,-0.19116,-0.97182,-0.13101
63.172,28.937,17.567,-0.22794,-0.96695,-0.026328
62.872,28.022,17.847,-0.26416,-0.94275,0.12634
62.636,27.158,18.293,-0.25169,-0.90933,0.28675
62.407,26.401,18.947,-0.23924,-0.82982,0.46407
62.173,25.792,19.748,-0.23515,-0.71809,0.62428
61.975,25.355,20.689,-0.21379,-0.57325,0.76386
61.812,25.075,21.688,-0.18685,-0.42614,0.86587
61.665,24.891,22.673,-0.16779,-0.30754,0.92671
61.611,24.777,23.675,-0.11097,-0.21136,0.96384
61.642,24.716,24.679,-0.040633,-0.13698,0.98417
61.624,24.684,25.709,-0.029259,-0.084177,0.9945
61.587,24.625,26.677,-0.033825,-0.072842,0.99669
61.562,24.555,27.631,-0.029682,-0.072768,0.9969
61.528,24.488,28.574,-0.033027,-0.072012,0.99685
61.504,24.431,29.535,-0.028835,-0.065705,0.99739
61.477,24.385,30.515,-0.028147,-0.055848,0.99799
61.449,24.346,31.505,-0.028507,-0.047677,0.99842
61.413,24.316,32.501,-0.032136,-0.039221,0.99867
61.376,24.291,33.492,-0.034788,-0.031947,0.99885
61.337,24.27,34.486,-0.036644,-0.026818,0.99895
61.298,24.249,35.487,-0.037944,-0.023558,0.999
61.241,24.21,36.483,-0.047595,-0.031633,0.99829
61.168,24.177,37.471,-0.060877,-0.032029,0.99754
60.986,24.134,38.481,-0.1189,-0.037069,0.99048
60.637,24.052,39.428,-0.232,-0.059347,0.96364
60.267,23.837,40.352,-0.29845,-0.13512,0.93904
59.814,23.548,41.214,-0.373,-0.2101,0.89645
59.329,23.233,42.045,-0.42715,-0.26141,0.86162
58.818,22.908,42.852,-0.46771,-0.29236,0.83203
58.263,22.527,43.616,-0.50662,-0.33356,0.79199
57.692,22.121,44.338,-0.53762,-0.36901,0.75581
57.097,21.683,45.04,-0.56111,-0.39976,0.72303
56.467,21.226,45.687,-0.59227,-0.42572,0.68162
55.804,20.802,46.31,-0.62697,-0.42428,0.65176
55.107,20.373,46.881,-0.66289,-0.42767,0.61221
54.402,19.886,47.407,-0.68263,-0.45627,0.56804
53.67,19.413,47.935,-0.70106,-0.46045,0.54364
52.921,18.965,48.42,-0.72593,-0.45474,0.51454
52.156,18.505,48.862,-0.74708,-0.45851,0.47953
51.388,18.051,49.301,-0.76003,-0.45776,0.46075
50.603,17.605,49.721,-0.77445,-0.45258,0.44135
49.78,17.175,50.116,-0.79507,-0.43962,0.4164
48.932,16.778,50.447,-0.82473,-0.41977,0.37501
48.068,16.316,50.618,-0.84713,-0.44272,0.27408
47.19,15.848,50.724,-0.86485,-0.45625,0.19072
46.316,15.37,50.784,-0.87206,-0.46826,0.12571
45.433,14.904,50.799,-0.87906,-0.46817,0.070378
44.531,14.459,50.787,-0.88852,-0.45579,0.029187
43.61,14.018,50.675,-0.89298,-0.44282,-0.039594
42.7,13.651,50.555,-0.90791,-0.40747,-0.080634
41.794,13.267,50.41,-0.91004,-0.3972,-0.11344
40.863,12.962,50.256,-0.92468,-0.35241,-0.13455
39.906,12.722,50.158,-0.94558,-0.29741,-0.11676
38.923,12.51,50.078,-0.96092,-0.25401,-0.098204
37.94,12.321,50.003,-0.97066,-0.2215,-0.086368
36.96,12.137,49.949,-0.97642,-0.20259,-0.070089
35.976,11.999,49.866,-0.98177,-0.17088,-0.076529
34.993,11.833,49.802,-0.98318,-0.16837,-0.070412
34.002,11.701,49.763,-0.98685,-0.15008,-0.055011
33.012,11.569,49.726,-0.98886,-0.14103,-0.045787
32.016,11.445,49.69,-0.99031,-0.1324,-0.040799
31.022,11.347,49.69,-0.99276,-0.11535,-0.020337
30.022,11.244,49.742,-0.99327,-0.10884,0.015472
29.021,11.163,49.82,-0.9938,-0.0949,0.046676
28.024,11.101,49.869,-0.99564,-0.078412,0.04764
27.039,11.043,49.973,-0.99426,-0.068459,0.076352
26.061,10.957,50.154,-0.9872,-0.077167,0.12882
25.079,10.873,50.391,-0.97872,-0.080016,0.18128
24.108,10.819,50.637,-0.97403,-0.066834,0.21347
23.179,10.768,50.951,-0.96028,-0.05969,0.26684
22.266,10.681,51.322,-0.94244,-0.073604,0.32085
21.346,10.577,51.72,-0.9285,-0.088616,0.3581
20.462,10.507,52.171,-0.90876,-0.079463,0.40625
19.608,10.464,52.691,-0.88163,-0.061441,0.46328
